,일자,코로나 일일확진자(명),코로나전일대비(명),환율(원),환율전일대비(원),"유가,WTI(달러)",유가전일대비(달러),"미국,S&P 500",미국 등락률(%)
0,2020-11-20,348.0,23.0,1117.0,,42.15,,3581.87,0.39
1,2020-11-21,386.0,38.0,,,,,,
2,2020-11-22,330.0,-56.0,,,,,,
3,2020-11-23,271.0,-59.0,1112.0,-5.0,43.06,0.9100000000000037,3557.54,-0.68
4,2020-11-24,349.0,78.0,1110.0,-2.0,44.91,1.8499999999999943,3577.59,0.56
5,2020-11-25,382.0,33.0,1107.0,-3.0,45.71,0.8000000000000043,3635.41,1.62
6,2020-11-26,581.0,199.0,1107.5,0.5,,,,
7,2020-11-27,555.0,-26.0,1105.0,-2.5,45.53,-0.17999999999999972,3629.65,-0.16
8,2020-11-28,503.0,-52.0,,,,,,
9,2020-11-29,450.0,-53.0,,,,,,
10,2020-11-30,438.0,-12.0,1107.5,2.5,45.34,-0.18999999999999773,3638.35,0.24
11,2020-12-01,451.0,13.0,1108.5,1.0,44.55,-0.7900000000000063,3621.63,-0.46
12,2020-12-02,511.0,60.0,1103.0,-5.5,45.28,0.730000000000004,3662.45,1.13
13,2020-12-03,540.0,29.0,1094.0,-9.0,45.64,0.35999999999999943,3669.01,0.18
14,2020-12-04,628.0,88.0,1086.0,-8.0,46.26,0.6199999999999974,3666.72,-0.06
15,2020-12-05,577.0,-51.0,,,,,,
16,2020-12-06,631.0,54.0,,,,,,
17,2020-12-07,615.0,-16.0,1086.5,0.5,45.76,-0.5,3699.12,0.88
18,2020-12-08,587.0,-28.0,1085.5,-1.0,45.6,-0.1599999999999966,3691.96,-0.19
19,2020-12-09,670.0,83.0,1085.0,-0.5,45.52,-0.0799999999999983,3702.25,0.28
20,2020-12-10,680.0,10.0,1088.5,3.5,46.78,1.259999999999998,3672.82,-0.79
21,2020-12-11,689.0,9.0,1092.0,3.5,46.57,-0.21000000000000085,3668.1,-0.13
22,2020-12-12,950.0,261.0,,,,,,
23,2020-12-13,1030.0,80.0,,,,,,
24,2020-12-14,718.0,-312.0,1092.5,0.5,46.99,0.4200000000000017,3663.46,-0.13
25,2020-12-15,880.0,162.0,1094.5,2.0,47.62,0.6299999999999955,3647.49,-0.44
26,2020-12-16,1078.0,198.0,1091.0,-3.5,47.82,0.20000000000000284,3694.62,1.29
27,2020-12-17,1014.0,-64.0,1094.0,3.0,48.36,0.5399999999999991,3701.17,0.18
28,2020-12-18,1064.0,50.0,1099.5,5.5,49.1,0.740000000000002,3722.48,0.58
29,2020-12-19,1045.0,-19.0,,,,,,
30,2020-12-20,1096.0,51.0,,,,,,
31,2020-12-21,924.0,-172.0,1109.0,9.5,47.74,-1.3599999999999994,3709.41,-0.35
32,2020-12-22,866.0,-58.0,1106.5,-2.5,47.02,-0.7199999999999989,3694.92,-0.39
33,2020-12-23,1090.0,224.0,1107.5,1.0,48.12,1.0999999999999943,3687.26,-0.21
34,2020-12-24,985.0,-105.0,1103.5,-4.0,48.23,0.10999999999999943,3690.01,0.07
35,2020-12-25,1240.0,255.0,,,,,,
36,2020-12-26,1131.0,-109.0,,,,,,
37,2020-12-27,970.0,-161.0,,,,,,
38,2020-12-28,806.0,-164.0,1096.5,-7.0,47.62,-0.6099999999999994,3703.06,0.35
39,2020-12-29,1044.0,238.0,1093.5,-3.0,48.0,0.38000000000000256,3735.36,0.87
40,2020-12-30,1050.0,6.0,1087.5,-6.0,48.4,0.3999999999999986,3727.04,-0.22
41,2020-12-31,967.0,-83.0,1088.0,0.5,48.52,0.12000000000000455,3732.04,0.13
42,2021-01-01,1027.0,60.0,,,,,,
43,2021-01-02,820.0,-207.0,,,,,,
44,2021-01-03,657.0,-163.0,,,,,,
45,2021-01-04,1020.0,363.0,1082.5,-5.5,47.62,-0.9000000000000057,3756.07,0.64
46,2021-01-05,714.0,-306.0,1089.0,6.5,49.93,2.3100000000000023,3700.65,-1.48
47,2021-01-06,838.0,124.0,1086.5,-2.5,50.63,0.7000000000000028,3726.86,0.71
48,2021-01-07,869.0,31.0,1092.0,5.5,50.83,0.19999999999999574,3748.14,0.57
49,2021-01-08,674.0,-195.0,1092.0,0.0,52.24,1.4100000000000037,3803.79,1.48
50,2021-01-09,641.0,-33.0,,,,,,
51,2021-01-10,657.0,16.0,,,,,,
52,2021-01-11,451.0,-206.0,1098.0,6.0,52.25,0.00999999999999801,3824.68,0.55
53,2021-01-12,537.0,86.0,1099.0,1.0,53.21,0.9600000000000009,3799.61,-0.66
54,2021-01-13,561.0,24.0,1097.0,-2.0,52.91,-0.30000000000000426,3801.19,0.04
55,2021-01-14,524.0,-37.0,1096.0,-1.0,53.57,0.6600000000000037,3809.84,0.23
56,2021-01-15,512.0,-12.0,1103.5,7.5,52.36,-1.2100000000000009,3795.54,-0.38
57,2021-01-16,580.0,68.0,,,,,,
58,2021-01-17,520.0,-60.0,,,,,,
59,2021-01-18,389.0,-131.0,1107.0,3.5,,,,
60,2021-01-19,386.0,-3.0,1102.5,-4.5,52.98,0.6199999999999974,3768.25,-0.72
61,2021-01-20,404.0,18.0,1101.5,-1.0,53.24,0.2600000000000051,3798.91,0.81
62,2021-01-21,400.0,-4.0,1101.0,-0.5,53.13,-0.10999999999999943,3851.85,1.39
63,2021-01-22,346.0,-54.0,1105.0,4.0,52.27,-0.8599999999999994,3853.07,0.03
64,2021-01-23,431.0,85.0,,,,,,
65,2021-01-24,392.0,-39.0,,,,,,
66,2021-01-25,437.0,45.0,1102.5,-2.5,52.77,0.5,3841.47,-0.3
67,2021-01-26,349.0,-88.0,1105.5,3.0,52.61,-0.1600000000000037,3855.36,0.36
